武器,星级,毕业词条1,毕业词条2,毕业词条3,屏蔽
典范,6星,主能力提升,攻击提升,压制,
光荣记忆,6星,敏捷提升,暴击率提升,夜幕,
望乡,6星,敏捷提升,寒冷伤害提升,压制,
落草,6星,敏捷提升,攻击提升,迸发,
艺术暴君,6星,智识提升,暴击率提升,切骨,
骑士精神,6星,意志提升,生命提升,医疗,
同类相食,6星,主能力提升,法术提升,附术,
使命必达,6星,意志提升,终结技充能效率提升,追袭,
爆破单元,6星,主能力提升,源石技艺强度提升,迸发,
沧溟星梦,6星,智识提升,治疗效率提升,附术,
显赫声名,6星,主能力提升,物理伤害提升,残暴,
熔铸火焰,6星,智识提升,攻击提升,夜幕,
昔日精品,6星,意志提升,生命提升,效益,
宏愿,6星,敏捷提升,攻击提升,附术,
J.E.T.,6星,主能力提升,攻击提升,压制,
赫拉芬格,6星,力量提升,攻击提升,迸发,
负山,6星,敏捷提升,物理伤害提升,效益,
领航者,6星,智识提升,寒冷伤害提升,附术,
不知归,6星,意志提升,攻击提升,流转,
遗忘,6星,智识提升,法术提升,夜幕,
扶摇,6星,主能力提升,暴击率提升,夜幕,
破碎君王,6星,力量提升,暴击率提升,粉碎,
热熔切割器,6星,意志提升,攻击提升,流转,
大雷斑,6星,力量提升,生命提升,医疗,
黯色火炬,6星,智识提升,灼热伤害提升,附术,
骁勇,6星,敏捷提升,物理伤害提升,巧技,
楔子,6星,主能力提升,暴击率提升,附术,
白夜新星,6星,主能力提升,源石技艺强度提升,附术,
作品：蚀迹,6星,意志提升,自然伤害提升,压制,
古渠,5星,力量提升,源石技艺强度提升,残暴,
仰止,5星,敏捷提升,物理伤害提升,夜幕,
嵌合正义,5星,力量提升,终结技充能效率提升,残暴,
向心之引,5星,意志提升,电磁伤害提升,压制,
逐鳞3.0,5星,力量提升,寒冷伤害提升,压制,
终点之声,5星,力量提升,生命提升,医疗,
坚城铸造者,5星,智识提升,终结技充能效率提升,昂扬,
布道自由,5星,意志提升,治疗效率提升,医疗,
莫奈何,5星,意志提升,终结技充能效率提升,昂扬,
O.B.J.术识,5星,智识提升,源石技艺强度提升,追袭,
O.B.J.轻芒,5星,敏捷提升,攻击提升,流转,
O.B.J.重荷,5星,力量提升,生命提升,效益,
O.B.J.尖峰,5星,意志提升,物理伤害提升,附术,
O.B.J.迅极,5星,敏捷提升,终结技充能效率提升,迸发,
作品：众生,5星,敏捷提升,法术提升,附术,
理性告别,5星,力量提升,灼热伤害提升,追袭,
探骊,5星,力量提升,终结技充能效率提升,迸发,
悼亡诗,5星,智识提升,攻击提升,夜幕,
钢铁余音,5星,敏捷提升,物理伤害提升,巧技,
十二问,5星,敏捷提升,攻击提升,附术,
迷失荒野,5星,智识提升,电磁伤害提升,附术,
